best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
,,,,,,,,,,,,,,,,,,,93.61969260039537,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_10km,10.0,1.5901718052503633,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,89.9617353052174,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_10km,10.0,5.593975827915725,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,93.93371469095977,,,,,,,,,,,,,,,,,,,,14,persistence,15.89449731571084,0.7254620855826754,142.88954710816134,persistence,baseline,,42.2899299132938,106.70000145805625,0,,,,setup_10km,10.0,1.5691165038207362,0.15509600937366486,1354,,5415
,,,,,,,,,,,,,,,,,,,90.15228767695773,,,,,,,,,,,,,,,,,,,,14,const_velocity,18.699088483856144,1.7985175450952857,115.97701697014838,const_velocity,baseline,,59.68489376262655,118.22454949275478,0,,,,setup_10km,10.0,5.582679541066511,0.15509600937366486,1354,,5415
,,,,,,,,,,,,,,,,,,,94.74983597748766,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_10km,10.0,1.7234280732580762,0.15711645781993866,1082,,4328
,,,,,,,,,,,,,,,,,,,92.8596643149508,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_10km,10.0,5.875701240533331,0.15711645781993866,1082,,4328
7,1.0118317051396537,,1.0118317051396537,,,,,,,,,,,,,,,,65.4064701739166,,,,,,,,,,,,,,,,,,,,7,direct_transformer,14.274545749690585,3.393367978676742,85.63335244676999,direct_transformer_2l_k7,direct,2,42.71279991782659,73.72902169497426,408964,,,6.251425743103027,setup_10km,10.0,5.611532549368605,0.14487870037555695,1484,0.19204851984977722,5936
5,1.2850584427398275,,1.2850584427398275,,,,,,,,,,,,,,,,65.37336569658001,,,,,,,,,,,,,,,,,,,,14,direct_transformer,17.997934694275028,5.6901008442587555,83.42578259590567,direct_transformer_2l_k14,direct,2,51.870697438876746,81.51231870934316,409860,,,5.8174943923950195,setup_10km,10.0,9.301395786509248,0.15509600937366486,1354,0.18707294762134552,5415
16,1.593415385473678,,1.593415385473678,,,,,,,,,,,,,,,,66.73622140130604,,,,,,,,,,,,,,,,,,,,30,direct_transformer,16.326040345787863,4.981664223752452,91.93875220300542,direct_transformer_2l_k30,direct,2,46.23775820331507,80.65821171813832,411908,,,7.627957105636597,setup_10km,10.0,6.929405719211012,0.15711645781993866,1082,0.17791128158569336,4328
17,0.9930513525216347,,0.9930513525216347,,,,,,,,,,,,,,,,64.51159748980898,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,14.341497833291358,3.705290085413627,90.46299049628546,direct_mlp_last_day_k1,direct,0,41.45636946891305,72.70787373290777,16226,,,4.265563726425171,setup_10km,10.0,6.028217933622376,0.1421477347612381,1611,0.1946902722120285,6441
